Immunization Status of School-Age Children in Illinois for School Year 2014-2015,,,,,,,,,,,,,,,,
Region-County-District-Type-School (RCDTS) ,District,Facility,,,,,,Polio,,,,,,,,
,,,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %
050160650042004,Evanston CCSD 65,Dawes Elementary School,365,0,0,0,100.00%,356,7,2,0,0,0,356,9,97.53%
050160650042005,Evanston CCSD 65,Dewey Elem School,482,0,0,0,100.00%,464,16,1,1,0,0,464,18,96.27%
050160650042009,Evanston CCSD 65,Lincoln Elem School,577,4,0,4,99.31%,562,11,0,1,0,3,562,15,97.40%
050160650042010,Evanston CCSD 65,Lincolnwood Elem School,391,0,0,0,100.00%,390,0,0,1,0,0,390,1,99.74%
050160650042014,Evanston CCSD 65,Oakton Elem School,419,11,1,1,97.14%,399,10,0,2,0,8,399,20,95.23%
050160650042015,Evanston CCSD 65,Orrington Elem School,380,0,0,0,100.00%,375,4,0,1,0,0,375,5,98.68%
050160650042019,Evanston CCSD 65,Walker Elem School,349,0,0,0,100.00%,338,3,0,8,0,0,338,11,96.85%
050160650042020,Evanston CCSD 65,Washington Elem School,523,0,0,0,100.00%,511,9,0,3,0,0,511,12,97.71%
050160650042021,Evanston CCSD 65,Willard Elem School,517,5,3,0,98.45%,509,5,0,2,0,1,509,8,98.45%
050160650042022,Evanston CCSD 65,Dr ML King Jr Literary & Fine Arts Sch,572,0,0,0,100.00%,562,10,0,0,0,0,562,10,98.25%
050160650042023,Evanston CCSD 65,Kingsley Elementary School,382,0,0,0,100.00%,373,8,0,1,0,0,373,9,97.64%
050160650042024,Evanston CCSD 65,Dr Bessie Rhodes Sch Global Studies,374,0,0,0,100.00%,368,6,0,0,0,0,368,6,98.40%
050160650043017,Evanston CCSD 65,Rice Childrens Center,36,0,0,0,100.00%,35,0,0,1,0,0,35,1,97.22%
050160650043020,Evanston CCSD 65,Joseph E Hill Education Center,207,0,0,0,100.00%,201,6,0,0,0,0,201,6,97.10%
050160670021002,Golf ESD 67,Golf Middle School,262,1,0,1,99.62%,259,2,0,1,0,0,259,3,98.85%
050160670022003,Golf ESD 67,Hynes Elem School,347,0,0,0,100.00%,345,2,0,0,0,0,345,2,99.42%
050160680021002,Skokie SD 68,Old Orchard Jr High School,684,3,0,0,99.56%,678,0,0,3,0,3,678,6,99.12%
